,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,Rotary Switch Test
S225000209,13/12/2022 04:45:32 p. m.,196.26s,1,Passed,,0.054749,23.8515365,5.08435223,3.32984595,1.34841921,1.27440573,23.8522344,23.8528637,23.9081691,23.9082818,23.9083617,23.9102306,23.9101807,23.9104453,23.9103464,23.9103663,23.910611,23.9079817,23.9092021,23.9116592,23.9116597,0.0438076579,0.0396852677,0.0442655687,0.079406425,0.0547874063,0.0390638082,0.0405497931,0.0486141392,0.019211665,0.0273627188,0.0232459663,0.0243991888,0.0382476136,10001,9999,10001,9999,9999,9997,9999,9999,9998,10.05,0.00,9.91,0.00,80.38,10.00,10.00,9995,10.01,9999,Passed,Passed,10.02,0.05,Passed
S225000209,13/12/2022 04:47:44 p. m.,105.65s,1,Passed,,0.054718,23.8524145,5.09745038,3.32986566,1.34839323,1.27430937,23.8531594,23.8536748,23.9091362,23.9090755,23.9093284,23.9114546,23.9114044,23.9115064,23.9113618,23.9114831,23.9117578,23.9088685,23.91036,23.9126637,23.9128957,0.0218690202,0.0291663667,0.0244931744,0.0286292463,0.0366504779,0.0464393296,0.0203584098,0.0279212311,0.012547644,0.0357014226,0.0328695807,0.0352032302,0.0208520357,10002,10000,10002,10000,10001,10001,10000,10001,10001,10.05,0.00,9.91,0.00,80.38,10.00,10.00,9995,10.02,9999,Passed,Passed,10.02,0.05,Passed
S224802790,13/12/2022 04:49:16 p. m.,196.56s,2,Passed,,0.061035,23.8330203,5.13041944,3.30507042,1.34862119,1.27350724,23.8331086,23.8351023,23.9196849,23.9197799,23.9199501,23.9218053,23.9220793,23.9221031,23.9220538,23.9221141,23.9221925,23.9209139,23.9211752,23.9234933,23.9235613,0.00604171308,0.0307120339,0.031552964,0.0424864559,0.0331486807,0.0454323617,0.047968649,0.0482002415,0.0581205052,0.0650765593,0.0705207314,0.059851706,0.0720093603,9990,9991,9992,9991,9992,9991,9992,9991,9993,10.04,0.00,9.94,0.00,80.28,9.99,9.99,9993,10.01,9999,Passed,Passed,9.99,0.04,Passed
S224802790,13/12/2022 04:51:15 p. m.,103.57s,2,Passed,,0.055115,23.8402725,5.13891982,3.30495177,1.34915599,1.27411117,23.840161,23.8419536,23.9201638,23.9202402,23.9202814,23.9220438,23.922301,23.9224675,23.9223733,23.922228,23.9225623,23.92106,23.9210594,23.9233784,23.9233827,0.0930974339,0.111010185,0.124629375,0.0992114956,0.0746544177,0.0779507847,0.0654187359,0.0460249971,0.0406806633,0.0282349823,0.0356828255,0.0284753985,0.0129736466,9991,9992,9994,9993,9994,9992,9995,9994,9996,10.04,0.00,9.94,0.00,80.26,9.99,9.99,10000,10.01,10002,Passed,Passed,9.99,0.04,Passed
S225000209,13/12/2022 04:52:48 p. m.,197.01s,1,Passed,,0.059952,23.8519581,5.09736217,3.32994436,1.34844287,1.27441806,23.8528297,23.852524,23.9105653,23.9106557,23.9108727,23.9129493,23.9129309,23.9128503,23.9128689,23.9131197,23.9131358,23.9103733,23.911636,23.914043,23.9143472,0.0163416577,0.0120081414,0.0169390052,0.0640928673,0.0302132334,0.0189157733,0.0343617862,0.0494802517,0.0193366323,0.0336036736,0.0329957154,0.0330447088,0.0502720447,10001,9999,10000,9999,10000,9999,10000,9999,9997,10.05,0.00,9.91,0.00,80.38,10.00,10.01,9988,10.01,9998,Passed,Passed,10.02,0.05,Passed
S224802790,13/12/2022 04:56:24 p. m.,110.52s,2,Passed,,0.05542,23.8405922,5.14179921,3.30489763,1.34929245,1.27426907,23.8403379,23.8422995,23.919793,23.9201721,23.9205535,23.922035,23.922346,23.9223902,23.9223706,23.9223252,23.9224354,23.9211934,23.9214473,23.9236793,23.9237306,0.102489575,0.126251272,0.140975952,0.121343721,0.10240576,0.102529145,0.115842563,0.114291437,0.111975513,0.110844362,0.116276288,0.11695511,0.0984955371,9989,9992,9994,9992,9994,9992,9994,9995,9998,10.04,0.01,9.94,0.00,80.28,10.00,10.00,10004,10.01,10003,Passed,Passed,9.99,0.04,Passed
S225000209,13/12/2022 04:57:59 p. m.,205.73s,1,Passed,,0.059875,23.8524452,5.09648806,3.32975536,1.34847253,1.27448123,23.8532513,23.8530225,23.8538275,23.9076315,23.9078889,23.9082988,23.9100937,23.9101116,23.9102167,23.9101928,23.9102825,23.9103513,23.9078696,23.9090949,23.9117021,0.0783301727,0.0656524323,0.0632524439,0.0692788656,0.106488876,0.0955998903,0.069913633,0.071547002,0.0886683894,0.0393135681,0.0603721677,0.0619425488,0.060029679,10001,10000,10001,10000,10000,10000,10000,10000,9998,10.05,0.00,9.91,0.00,80.37,10.00,10.01,9996,10.01,9994,Passed,Passed,10.02,0.05,Passed
S224802790,13/12/2022 05:00:17 p. m.,103.81s,2,Passed,,0.059967,23.841556,5.1413698,3.30484168,1.34930703,1.27424598,23.8414608,23.8430873,23.9183437,23.9187298,23.9189155,23.9206061,23.9208543,23.9209366,23.9210564,23.920906,23.9212437,23.9198916,23.9200965,23.9222174,23.9225144,0.0454960191,0.0556445886,0.0392936326,0.0405233837,0.0262762536,0.0214327753,0.0258645408,0.0409641886,0.0265044449,0.0133426298,0.043364794,0.0396502206,0.0367423396,9993,9995,9996,9995,9997,9994,9997,9996,9997,10.04,0.00,9.94,0.00,80.28,10.00,9.99,9996,10.01,10009,Passed,Passed,9.99,0.04,Passed
S225000209,13/12/2022 05:01:48 p. m.,195.17s,1,Passed,,0.059753,23.8532897,5.09983738,3.32987605,1.34847046,1.27445787,23.853937,23.8539038,23.8545686,23.9133927,23.9135647,23.913929,23.9157087,23.9156726,23.9159954,23.9159818,23.9160419,23.9160747,23.9133467,23.9149125,23.9172614,0.0424418881,0.0201493862,0.0146444522,0.0158044501,0.0620396783,0.0221184492,0.0199285588,0.0332181108,0.0476907341,0.0226522981,0.0372966233,0.0397110123,0.0429125055,10002,10000,10002,10000,10001,10001,10000,10001,10002,10.05,0.01,9.91,0.00,80.39,10.00,10.00,9992,10.01,9998,Passed,Passed,10.00,0.05,Passed
S224802790,13/12/2022 05:04:07 p. m.,104.88s,2,Passed,,0.055038,23.8528763,5.1092042,3.33030097,1.34845422,1.27436769,23.8524594,23.8539077,23.9206919,23.9207794,23.920948,23.9227482,23.9228802,23.9230502,23.9229412,23.9229044,23.9232888,23.9215292,23.9217381,23.924097,23.9241548,0.0733085594,0.0856741383,0.10419147,0.0812396779,0.0603843893,0.068555012,0.0586410139,0.034461767,0.0454522505,0.0464069345,0.0455585936,0.0423473319,0.0347209416,10004,10001,10001,10001,10000,10002,10003,10001,9998,10.05,0.00,9.91,0.00,80.38,10.00,10.00,9999,10.01,10000,Passed,Passed,10.02,0.05,Passed
S225000542,13/12/2022 05:05:49 p. m.,205.34s,1,Failed,Rotary Switch Test,0.054947,23.8423188,5.09429982,3.30414983,1.34916718,1.27407241,23.8432936,23.8440756,23.9066273,23.9067391,23.907158,23.9089768,23.9089343,23.9091101,23.9090189,23.9091826,23.9091978,23.9067064,23.9079412,23.9101934,23.9102949,0.0662959552,0.0650337521,0.0708768025,0.110257662,0.100266235,0.0717826128,0.0751704943,0.0939055352,0.0408634981,0.0635633695,0.0649701462,0.0618207011,0.0785570716,9988,9989,9993,9990,9992,9986,9989,9990,9993,10.03,0.00,9.94,0.00,80.29,10.00,9.99,9990,10.01,9999,Passed,Passed,9.99,0.04,Failed
S224803893,13/12/2022 05:08:05 p. m.,112.89s,1,Failed,Rotary Switch Test,0.060654,23.944693,5.07814218,3.31705329,1.34601234,1.27557336,23.9459148,23.9466601,23.8970478,23.896985,23.897132,23.8988416,23.8988449,23.8982745,23.8984125,23.8984242,23.8984579,23.8960653,23.8972782,23.8996077,23.8995969,0.0595166431,0.0608241756,0.0628445602,0.093761367,0.0902885194,0.0703378447,0.0636978394,0.078118155,0.0337170339,0.0608163278,0.0599685936,0.0578827781,0.0630260044,9990,9989,9991,9990,9993,9993,9989,9989,9993,10.04,0.00,10.10,0.00,80.24,10.01,9.99,9997,10.01,10003,Passed,Passed,9.99,0.04,Failed
S224802790,13/12/2022 05:09:40 p. m.,209.36s,2,Passed,,0.055222,23.8522812,5.10956341,3.33026367,1.34850694,1.27446427,23.8518533,23.8512463,23.8536803,23.9175821,23.9178359,23.9180835,23.9198764,23.9199905,23.9200432,23.9189396,23.9200355,23.9203,23.9188788,23.9188696,23.921148,0.0895212103,0.0824827758,0.0973289316,0.104030072,0.0869392123,0.0637493528,0.0678205779,0.0589536323,0.0473818539,0.0469831121,0.0417761754,0.0417765571,0.0267847696,10003,10001,10001,10002,10000,10004,10003,10002,10000,10.05,0.00,9.91,0.00,80.38,10.00,10.00,9998,10.01,10002,Passed,Passed,10.02,0.05,Passed
S224802790,13/12/2022 05:14:19 p. m.,103.52s,2,Passed,,0.055237,23.8505725,5.10683558,3.33033602,1.34827601,1.27413796,23.8503066,23.851965,23.9149172,23.9152168,23.9155116,23.9172058,23.9172621,23.917406,23.9174216,23.9175217,23.9177183,23.9163061,23.9163204,23.9187779,23.9190287,0.0483922032,0.06773749,0.047012562,0.0515180744,0.0418887752,0.0477012598,0.0668506132,0.0926067118,0.0888210566,0.101877317,0.12479037,0.114315888,0.13161015,10004,10002,10001,10002,10001,10004,10004,10002,9999,10.06,0.00,9.91,0.00,80.38,10.00,10.00,9997,10.01,10002,Passed,Passed,10.02,0.05,Passed
S224803893,13/12/2022 05:15:52 p. m.,196.24s,1,Passed,,0.060287,23.9483577,5.07587167,3.31698639,1.34618068,1.27583904,23.9497923,23.9506296,23.9061451,23.9060729,23.9063633,23.9077775,23.9079034,23.9069663,23.9077719,23.9078301,23.9080281,23.9055386,23.906923,23.9094737,23.9094472,0.0446956677,0.0368954298,0.0322012958,0.0683132453,0.0247138658,0.00934213738,0.0276364156,0.0414160637,0.0199035284,0.0343263407,0.0377915414,0.0426310817,0.0614136155,9988,9987,9990,9990,9993,9993,9991,9988,9993,10.03,0.00,10.10,0.00,80.25,10.01,9.99,9997,10.01,10004,Passed,Passed,9.99,0.04,Passed
S224803893,13/12/2022 05:17:47 p. m.,105.22s,1,Passed,,0.054947,23.9522507,5.07435707,3.31678315,1.34637355,1.27622347,23.9534166,23.9541096,23.9050677,23.9053649,23.9057717,23.9075098,23.9075033,23.9070146,23.9077063,23.9077851,23.9077897,23.9054449,23.906783,23.9087812,23.9090318,0.0869964654,0.0905976903,0.0926723063,0.139137697,0.13427544,0.116129388,0.0977271516,0.123900394,0.0586346251,0.118927691,0.11528604,0.118144586,0.124026614,9991,9990,9992,9991,9994,9994,9991,9989,9995,10.03,0.01,10.10,0.00,80.23,10.01,9.99,10001,10.01,10007,Passed,Passed,9.99,0.04,Passed
S224802790,13/12/2022 05:19:19 p. m.,196.29s,2,Passed,,0.055237,23.8516715,5.10854148,3.33024226,1.34848619,1.27444996,23.8513925,23.8530982,23.9163934,23.9165166,23.9166724,23.9183255,23.9186854,23.9185889,23.9186682,23.9187316,23.9187794,23.9173147,23.9172799,23.9197119,23.9198048,0.0432245725,0.0619495932,0.0712453826,0.0694841301,0.054275742,0.0658398993,0.063816929,0.0587663697,0.0665549669,0.0716379274,0.0756212292,0.0627188475,0.0738370263,10004,10001,10001,10001,9999,10002,10003,10002,9997,10.05,0.00,9.91,0.00,80.37,10.00,10.00,9999,10.01,10000,Passed,Passed,10.01,0.05,Passed
S224802790,13/12/2022 05:21:12 p. m.,104.72s,2,Passed,,0.054871,23.8530477,5.10876655,3.33020205,1.34854614,1.27452881,23.8527334,23.8543268,23.9174882,23.9175965,23.9178279,23.9195498,23.9197286,23.9199082,23.9196274,23.9198731,23.919996,23.9186332,23.9185799,23.9209437,23.921127,0.0145825009,0.0369372165,0.0379515108,0.0424500064,0.026511635,0.0349139213,0.0348214494,0.0376823711,0.042490538,0.0424475784,0.0561020763,0.0451599786,0.0531067157,10005,10000,9999,10000,9999,10001,10002,10000,9997,10.05,0.00,9.91,0.00,80.37,10.00,10.01,10001,10.01,9998,Passed,Passed,10.02,0.05,Passed
S224803893,13/12/2022 05:22:46 p. m.,197.28s,1,Passed,,0.060074,23.9519038,5.08208979,3.31682943,1.34639865,1.27628971,23.9531267,23.9539234,23.9070334,23.9071127,23.9073877,23.9091235,23.9091103,23.9089353,23.9090085,23.9090282,23.9091923,23.9069551,23.9082074,23.9105281,23.9105136,0.0429311826,0.0420898076,0.0499347697,0.0882835429,0.0738830536,0.0578531914,0.0617775134,0.0783780772,0.0362802398,0.0564020625,0.0591135438,0.0587995459,0.0770921465,9988,9991,9990,9990,9993,9997,9984,9988,9997,10.03,0.01,10.10,0.00,80.25,10.01,9.98,9998,10.01,10004,Passed,Passed,9.99,0.04,Passed
